name,address,location,adname,type,shopinfo,lng,lat,is_chain
爱沪咖甜甜圈主题咖啡店(永嘉路店),永嘉路211号,"121.461381,31.210053",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.461381,31.210053,False
闹茶元纪NEOCHA(永康路店),永康路35号,"121.458704,31.211028",徐汇区,餐饮服务;冷饮店;冷饮店,0,121.458704,31.211028,False
Bunboo Coffee,天平路街道永康路27号,"121.458878,31.211090",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.458878,31.21109,False
Cafe del Volcan,永康路25号,"121.458909,31.211100",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.458909,31.2111,False
星巴克(好望角店),肇嘉浜路500号(肇嘉浜路地铁站2号口步行460米),"121.454274,31.201145",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,1,121.454274,31.201145,True
星巴克沿街取餐点(好望角店),肇嘉浜路500号,"121.454298,31.201092",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,1,121.454298,31.201092,True
CoffeeMasters(教育会堂店),岳阳路与东平路交叉口东40米,"121.452171,31.208685",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452171,31.208685,False
咖啡大师,岳阳路与汾阳路交叉口东南20米,"121.452078,31.208750",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452078,31.20875,False
星巴克(汾阳路店),汾阳路138号轻科大厦1层03单元,"121.453091,31.209883",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,1,121.453091,31.209883,True
神沪珈R1070·Cafe(总店),汾阳路79号,"121.454084,31.210559",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.454084,31.210559,False
凡咖啡(党群咖啡),医学院路52号(党建中心)(嘉善路地铁站4号口步行440米),"121.457897,31.200046",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.457897,31.200046,False
boundless cycling&coffee,嘉善路89号,"121.459360,31.211436",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.45936,31.211436,False
BCC咖啡,天平路街道嘉善路95-1-临,"121.459425,31.211425",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459425,31.211425,False
库迪咖啡,中科大厦宿舍,"121.453436,31.201252",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.453436,31.201252,False
月球咖啡,永嘉路527弄1号,"121.450883,31.205319",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.450883,31.205319,False
Yincoffee隐铺,上海城区建国西路140号(打浦桥地铁站4号口步行470米),"121.464282,31.207433",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.464282,31.207433,False
Orig Indigo靛蓝咖啡,医学院路8号(嘉善路地铁站4号口步行240米),"121.460253,31.200283",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.460253,31.200283,False
米店咖啡馆,平江路115号,"121.455237,31.200051",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455237,31.200051,False
% Arabica阿拉比卡咖啡(建国西路店),建国西路481号,"121.451285,31.202960",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.451285,31.20296,False
